,Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Grade,Magnitude Type,Magnitude Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
12838,1996-01-01,08:05:11,0.729,119.931,Earthquake,24.0,,,7.9,158.0,MW,,1.2,USP00079ZV,US,US,HRV,Reviewed
12892,1996-02-17,05:59:31,-0.891,136.952,Earthquake,33.0,,,8.2,208.154,MW,,1.3,USP0007D1W,US,US,HRV,Reviewed
13059,1996-06-10,04:03:35,51.564,-177.632,Earthquake,33.0,,,7.9,289.667,MWC,,0.9,USP0007JCU,US,US,HRV,Reviewed
13076,1996-06-17,11:22:19,-7.137,122.589,Earthquake,587.3,,,7.9,3866.392,MWC,,1.2,USP0007JW8,US,US,HRV,Reviewed
